Company Name,Company Revenue in millions, Empoyee Head Count,Company Industry,Company Specialities,Company Type,Company Location Country Name,Company Location City,Company Location Timezone
Parskhazar,80,200,Electrical & Electronic Manufacturing,"Cooling Fans, Juicers Food Processors Fryers/Barbecues Tea Makers Sandwich Maker/Egg Boiler Oven Toasters Steam Irons Hairdryers/Digital Scale Fan Heaters Air & Water Purifiers Food Savers Export Products, Rice Cookers/Steam Cookers, Meat Grinders",Public Company,Iran,Tehran,IRST
Marcura,100,400,Logistics & Supply Chain,"Maritime , Shipping , Seaborne Execution , Disbursement accounts , VOYAGE MANAGEMENT SERVICES, VOYAGE OPTIMISATION AND DECISION SUPPORT, Charter Party Management, Port call optimization, MARITIME PAYMENT SERVICES, Laytime Management, Port Cost Management , payments, maritime payments, chartering, marine, automation, digitisation, operations, maritime operations, finance, accounting, DA, FDA, PDA, laytime, agents, crew payments, compliance, marine sanctions, maritimetechnology, MarTech, Maritime compliance, Marine",Privately Held,United Arab Emirates,Dubai,GST
Exemplis LLC,200,600,Consumer Goods,"Furniture Industry, consumer products, bags, luggage, build-to-order manufacturing, office furniture, custom, ergonomics",Privately Held,United States,Cypress,EST
NKOM - Nakilat Keppel Offshore & Marine Ltd,1000,3000,Shipbuilding,"Ship Repair, Ship Conversion, Offshore Structures, Construction & repair of small ships",Partnership,Qatar,Doha,AST
"Covercraft Industries, LLC",116.6,200,Automotive,"Custom Vehicle Covers, Exterior Vehicle Protection, Interior Vehicle Protection, Softgoods Manufacturing, Contract Sewing, Pet Travel Products, RV Covers and Accessories, Work Truck Products, Boat Covers, ATV Covers, Patio Furniture Covers, Seat Covers, Dash Covers, Floor Mats, Cargo Liners, Windshield Sunscreens",Privately Held,United States,Pauls Valley,EST
Ram Tool Construction Supply Co.,210,750,Wholesale Building Materials,"Construction Supply, Sales, Service",Privately Held,United States,Birmingham,EST
Garney Construction,500,1000,Construction,"Water & Wastewater Pipelines, Water & Wastewater Treatment Facilities, Pump Stations, Water Storage Tanks, Heavy Civil Construction",Privately Held,United States,North Kansas City,EST
EPAM Continuum,100,500,Design Services,"Customer Experience, Innovation, Service Design, Product Design, Medical Device, Brand Design, Consulting, Technology Consulting, Data Consulting, Business Consulting, Advisory, AI Consulting",Public Company,United States,Boston,EST
BAPS Swaminarayan Sanstha,58.3,500,Non-profit Organizations,,Nonprofit,United States,Windsor,EST
National Geographic Society,1000,1500,Non-profit Organizations,,Nonprofit,United States,Washington,EST
GreyOrange,200,1000,Computer Software,,Privately Held,United States,Roswell,EST
CRL,150,300,Wholesale Building Materials,"glazing, construction, manufacturing, distribution, architectural, fenestration systems, building envelope, railings, aluminum, commercial hardware",Public Company,United States,Los Angeles,EST
ZeOmega,80,200,Software Development,"Population Health Management Solutions, Health Information Exchange Technology, Business Process Management, Master Person Index Software, Interoperability, SDOH",Privately Held,United States,Plano,EST
Metagenics,300,600,Wellness and Fitness Services,"metagenics, health, wellness, functional medicine, firstline therapy, nutrigenomics, nutraceuticals, nutrition",Privately Held,United States,Aliso Viejo,EST
TurboDebt,50,1100,Financial Services,,Privately Held,United States,Sunrise,EST
RailWorks Corporation,1200,6000,Construction,"Rail Track Construction, Maintenance and Rehabilitation, Transit Systems Contracting, Signals and Communications, Steel ties",Privately Held,United States,New York,EST
"Lakeside Foods, Inc.",600,1200,Food and Beverage Manufacturing,"Food Manufacturing, Private Brand Food, Canned Vegetables, Frozen Vegetables, Canned Corn, Canned Peas, Canned Green Beans, Frozen Corn, Frozen Peas, Frozen Green Beans, Canned Dry Beans, Frozen Vegetables with Sauce, Frozen Whipped Topping, Consumer Food",Privately Held,United States,Manitowoc,EST
Blueprint,50,200,IT Services and IT Consulting,"Growth Strategy, Enterprise Analytics, Cloud Enablement, Performance Improvement , Systems Integration, Customer Experience Optimization, Organizational Modernization, Data Science and Analytics, Data Platform and Engineering , Cloud and Infastructure, Supply Chain Management, Product Development, Microsoft Certified Gold Partner, Data Bricks, Knowledge Management, Systems Integration, Supply Chain Management",Privately Held,United States,Bellevue,EST
AbilityFirst,30,600,Non-profit Organizations,"Developmental Disabilities, Disabilities, Special Needs, Autism, Physical Disabilities, Cerebral Palsy, Down Syndrome, Children, Adults, Life Skills, Socialization",Nonprofit,United States,Pasadena,EST
Solaria Corporation,100,300,Renewable Energy Semiconductor Manufacturing,"Manufacturing, Solar Panels, Clean Energy, residential solar, commercial solar, rooftop solar, Attractive solar panels, high efficiency solar panels, proven performance, American innovation  ingenuity, aesthetic solar, curb appeal, renewable generation, highly rated, beautiful solar, solar for homes",Privately Held,United States,Fremont,EST
Basden Steel Corporation,75,250,Construction,"Structural Fabrication, Steel Erection, Crane Rentals, Design Build, BIM, Project Management, AISC",Privately Held,United States,Burleson,EST
KLX Energy Services,700,2200,Oil and Gas,"Wireline Services, Thru Tubing Services, Fishing Services, Surface Facilities and Equipment, Pressure Control Services, Downhole Technology and Tools, Engineered Products, Project Consulting, Research and Development",Public Company,United States,Houston,EST
Brakebush Chicken,800,1500,Food and Beverage Manufacturing,"Further Processed Chicken, Raw IQF Chicken",Privately Held,United States,Westfield,EST
Boeing Distribution Services Inc.,10000,20000,Aviation and Aerospace Component Manufacturing,,Public Company,United States,Miami,EST
AM/NS Calvert,3000,2500,Mining,Flat-roll Carbon Steel,Public Company,United States,Calvert,EST
Tosca,500,1000,Packaging and Containers Manufacturing,"reusable packaging and supply chain solutions for perishables, pooling services for handheld reusable, collapsible containers and bulk bins, market leader in 640 cheese boxes, supply chain optimization with reusable plastic containers (RPCs), Reusable Plastic Pallets, Pallet Pooling, RPCs for produce, Supply Chain Pooling, Reusable Packaging, Reusable Plastic Containers",Privately Held,United States,Atlanta,EST
Nexeo Plastics,1200,1000,Plastics Manufacturing,"Plastics Distributor, Thermoplastic Resins Distributor, Plastic Resin Technical Services, Plastic Material Selection Support, Plastic OEM Services, Parts & Components, Plastic Application Development Engineering Services, Plastic Supply Chain Solutions, Plastics Transportation Services, Plastic Warehousing Solutions, Plastics 3D Printing Solutions, Plastic Blow Molding Resins, Plastic Resins for Extrusion, Plastics for Rotational Molding, Plastic Resins for Injection Molding, Plastics for Wire Manufacturers, Plastic Resins for Coated Cable Products",Privately Held,United States,The Woodlands,EST
FuelCell Energy,100,400,Renewable Energy Semiconductor Manufacturing,Sustainable energy alternatives,Public Company,United States,Danbury,EST
CAEP,5.8,35,Professional Training and Coaching,"International Exchange Program, J-1 Visa Agricultural and Business Visas, Agriculture Internships, Horticulture Internships, Equine Internships, Enology Internships",Educational Institution,United States,Fergus Falls,EST
AVL in North America,500,1200,Motor Vehicle Manufacturing,"Battery, Controls and Electronics, Engine, Transmission, Vehicle System, Instrumentation and Testing Solutions, Simulation Technologies, Commercial On-Road, Electrification, Large Engines, Passenger Cars, Emission, Fuel Consumption, Production Orientation, Development Process, Military Background, Autonomous Driving, ADAS, Connected Mobility, Propulsion Systems",Privately Held,United States,Plymouth,EST
Pepper Construction Group,1000,500,Construction,"construction general contractor, construction management, green building, virtual construction, LEAN construction, preconstruction services",Privately Held,United States,Chicago,EST
AM General LLC,700,1500,Defense and Space Manufacturing,"Light Tactical Vehicle Manufacturing, Contract Vehicle Manufacturing, Defense Contractor, Service, Parts, Logistics, Training, Field Service Support, Vehicle Manufacturing, Powertrains, Vehicle Design, Armored Vehicle Manufacturing, Engineering Services",Privately Held,United States,South Bend,EST
Raven Industries,400,1000,Farming,"Technology, Precision Agriculture, Manufacturing, Autonomous Platforms, Engineering Services",Public Company,United States,Sioux Falls,EST
BURNDY,300,1200,"Appliances, Electrical, and Electronics Manufacturing",,Public Company,United States,Manchester,EST
Riddell,250,500,Retail,"Football Helmets, Shoulder Pads, Face Masks, Apparel, Custom Team Orders, Accessories, Reconditioning, Collectibles, SportsBiz",Privately Held,United States,Des Plaines,EST
Al Murjan Hospital,70,300,Hospitals and Health Care,,Privately Held,Saudi Arabia,An Nahdah District,AST
CareOregon,2500,1000,Insurance,"Medicare, Medicaid, health care, healthcare, insurance",Nonprofit,United States,Portland,EST
Skyhigh Security,100,500,Computer Software,,Privately Held,United States,San Jose,EST
ProV International,40,200,IT Services and IT Consulting,"Consulting ERP- SAP, Oracle, IFS, Infor, ServiceNow, Quality Assurance and Testing Services, BOT model offshoring , Captive IT centers, Managed Support Services, Software Program Development, Managed Application Services, Enterprise Security & Risk, Mobility, IFS Applications, ServiceNow, Tanium, UI Path, Microsoft Azure, ServiceNow Implementation, Managed IT Services, Digital Intelligence, IT Advisory, IT Strategy, IT Optimization, IFS ERP Software, ERP Solutions, Cloud Hosting, Field Service Management Software, Field Service, Manufacturing Software, Business process optimization, salesforce, salesforce itsc",Privately Held,United States,Tampa,EST
Ceipal,50,200,Software Development,"Applicant Tracking System, Recruiting Software, Human resource management software, HRMS, Staffing, HCM, Workforce Management, Employee Onboarding, Vendor Management Software, AI for Recruitment",Privately Held,United States,Rochester,EST
Dealer,100,300,Software Development,"Automotive Digital Marketing, Inventory Solutions, Websites, CRM, Digital Advertising, Social Media, Account Management, Managed Services, Digital Retailing, SEO, SEM, Retargeting, Paid Search, Display Advertising, Managed Services, Digital Retailing, Review Generation, Reputation Management, Website Management, Digital Marketing",Privately Held,United States,Burlington,EST
"Levinson & Associates, Inc.",30,100,Insurance,"Insurance, Marketing, CI, DI and LTC, Accident policies, Annuity, Premium Finance, IMO for Life Insurance",Public Company,United States,Coral Springs,EST
GrafTech International Ltd.,1500,3000,Manufacturing,"Graphite Electrodes, Needle Coke",Public Company,United States,Brooklyn Heights,EST
American University of the Middle East (AUM),184,500,Higher Education,"College of Business Administration, College of Engineering and Technology, English Preparatory Program (EPP), Accounting, Finance, Management Information System (MIS), Marketing, Human Resource Management, Civil Engineering, Industrial Engineering, Computer Engineering, Electrical Engineering, Mechanical Engineering, Information Systems and Technology, Architectural Engineering, MBA, Telecommunications and Networking Technology",Educational Institution,Kuwait,Kuwait,AST
Crafton Hills College,4.7,200,Higher Education,,Educational Institution,United States,Yucaipa,EST
Circus Foodtown,50,200,Retail,,Privately Held,United States,Middletown,EST
Saudi Readymix Concrete Co,800,4000,Construction,,Privately Held,Saudi Arabia,Ad Dammam,AST
